"unique.as.character.haplotype_CoRSIVs.V10.." "r_values"
"1" "330fdcb3" -0.199941086195349
"2" "16c6b1bf" -0.916265521303183
"3" "0ff98690" -0.940561105148029
"4" "8680f104" -0.389727891726141
"5" "230b3b4d" -0.941053760209347
"6" "ce36b4b2" 0.0910268034430591
"7" "fad67fd2" 0.334571245890498
"8" "1fbd781c" -0.915927997230329
"9" "ebb26e58" -0.372182468314223
"10" "ba6f4e37" -0.84940514385805
"11" "b19c1403" -0.716555511679013
"12" "b0b9a48e" -0.860444242423871
"13" "22275672" 0.280474128494305
"14" "675bfad6" -0.682001990849174
"15" "075dd29a" -0.787737576482233
"16" "ac511409" -0.959992052585312
"17" "e94e41f8" -0.925122359158779
"18" "52f15301" -0.830728819709576
"19" "e4f9be29" -0.479004675524532
"20" "dfa97211" -0.972438258378676
"21" "19814efc" 0.406200106686535
"22" "a6e6f23b" -0.231466967948389
"23" "7aa3632e" -0.739494634951205
"24" "2e0016f6" -0.550947785197738
"25" "861e8ff1" -0.518719297192623
"26" "2123915b" -0.855657404725307
"27" "6018bea2" -0.528166464928988
"28" "e8335862" -0.591696273021103
"29" "cafe93bd" -0.614856363524854
"30" "12c5bd59" -0.474791068597855
"31" "47dcf4d2" -0.995254209822384
"32" "a43afa6b" -0.985280482918925
"33" "69bf10e9" -0.782300236453346
"34" "a112b3f3" 0.0808615808602122
"35" "630faf33" -0.401307493423131
"36" "5df9c322" -0.829386214775916
"37" "4c90aea7" 0.550111386747099
"38" "94077ecb" -0.862805533989224
"39" "f1ecaf9f" -0.981667915527851
"40" "cc66c712" -0.970873710461343
"41" "0993799d" 0.0717692026332541
"42" "7df2bfae" -0.454786391042618
"43" "dfd0a46c" 0.137353443125737
"44" "8f81b498" 0.201542338398221
"45" "6a3f152d" -0.925869833693609
"46" "eed55983" 0.178713460537886
"47" "cbcce192" -0.777079389042752
"48" "448a5c75" -0.191962115875382
"49" "c1178c15" -0.975428058377652
"50" "be2169cf" -0.407266255318008
"51" "41495a9c" -0.547561590815435
"52" "120e3575" -0.897612338199318
"53" "66417e12" -0.929209305195957
"54" "8774717f" -0.976505382402742
"55" "d3da2d77" -0.944136675536696
"56" "d26872b6" -0.848824279110801
"57" "3e6a06ae" 0.163519374507774
"58" "1d1d1385" -0.168019742577959
"59" "73093c81" -0.784103869661019
"60" "174e21a1" -0.820112106197476
"61" "a28ab45f" -0.0182297536619685
"62" "e1019ad7" -0.250515449275654
"63" "a8d1e8ba" -0.499447004617802
"64" "83dbab31" -0.932560109731665
"65" "e6fd9b7b" -0.984392370181882
"66" "033cb6e3" -0.369268718446825
"67" "d91ac5e7" -0.971085687836989
"68" "641dc966" -0.926633022011504
"69" "b6aa60e6" -0.952018962704916
"70" "b4fd0315" -0.976750237499134
"71" "6750840b" 0.752730462734305
"72" "0bd73615" -0.794553398939669
"73" "ca8d8bb2" -0.105520444162792
"74" "8fe7fc70" -0.665334583350524
"75" "6b40a56b" 0.121016386125301
"76" "58e28fd4" -0.971157290817607
"77" "87d54868" -0.771950273815336
"78" "fba5d2e2" -0.967521684049055
"79" "204a1d76" -0.119385980439699
"80" "03bbdde6" -0.332118658519099
"81" "b9d11a52" NA
"82" "b0e85212" -0.184092564830916
"83" "680d620b" -0.49127798903168
"84" "87ae9b18" 0.709508002522521
"85" "d1d4bf1e" 0.866735455521805
"86" "f24e7d56" -0.0163803189719335
"87" "2b95bf00" -0.532138262216073
"88" "0ae544ee" -0.971527561634069
"89" "c8cc5c11" 0.107896207212098
"90" "2a2e79c8" 0.148654733121487
"91" "018f6f30" -0.878839753652575
"92" "1538896c" -0.635196381011832
"93" "f5f4652d" -0.300387797079278
"94" "68bf2837" -0.914703112211257
"95" "1511bf87" 0.515843881365558
"96" "47bf4b19" 0.66579234945405
"97" "8bd83e05" -0.609096398257853
"98" "6d7c006f" 0.0704340301111955
